names are resigning at an even faster pace this year ; faster	names are resigning this year at a pace that is faster
that amounts to more than 350 billion a year ; more	that amounts to not 350 billion a year but more
short skirts not welcome in texas court ; welcome	in texas court short skirts are not welcome
the company rejected those past proposals ; past	the company rejected those proposals that had past
ask tommy lasorda thin is in ; thin	tommy lasorda says what is in is thin
conservatives shoot their own he says ; own	he says conservatives shoot their own
the japanese take the long view said mr. veronis ; long	mr. veronis said the japanese take the view that's long
it 's a tough thing when you ca n't ; tough	when you can't it's a thing that's tough
spending by japanese households averaged 290,782 yen 2,052.10 in august ; japanese	spending averaged 290,782 yen 2,052.10 in august by households that are japanese
meanwhile several new issues were priced ; several	meanwhile the number of new issues that were priced were several
the dollar rose against the swiss and french francs ; swiss	the dollar rose against the francs of the french and swiss
beyond that money managers and analysts see other problems ; other	beyond that money managers and analysts see problems that are other
lloyd 's only recently reported its financial results for 1986 ; financial	lloyd's only recently reported its results for 1986 which were financial
meanwhile several new issues were priced ; new	meanwhile several issues were priced that were new
the dollar rose against the swiss and french francs ; french	the francs that the dollar rose against were swiss and french
customized baskets of fewer stocks will also be available ; customized	baskets available containing fewer stocks will be customized
the unions and the company last week agreed to mediation ; last	the unions and the company agreed to mediation last week
other stocks were affected by corporate earnings ; other	stocks affected by corporate earnings were others
customized baskets of fewer stocks will also be available ; fewer	the customized baskets of stocks which will also be available will be fewer
when selling is so frenzied prices fall steeply and fast ; frenzied	prices fall steeply and fast when selling is so frenzied
mr. decker 's resignation surprised many industry officials ; many	the amount of industry officials surprised by mr. decker's resignation were many
other stocks were affected by corporate earnings ; affected	corporate earnings had other stocks affected
litigation sciences does n't make moral distinctions ; moral	litigation sciences does not make distinctions that are moral
some are even coming up with their own novel designs ; own	some are even coming up with novel designs of their own
others prefer deep-discount zero-coupon bonds ; deep-discount	others prefer zero-coupon bonds that are deep-discount
in addition global petroleum demand has been climbing ; global	in addition the petroleum demand that has been climbing is global
but mr. monsky sees much bigger changes ahead ; bigger	but the changes mr. monsky sees ahead are much bigger
conservatives have an important decision to make this fall ; important	conservatives have a decision to make this fall that's important
innocent bystanders often are the victims ; innocent	the victims are often bystanders who are innocent
others prefer deep-discount zero-coupon bonds ; zero-coupon	others prefer deep discount bonds that are zero coupon
mr. maynard claims this is a manageable problem ; manageable	this is a problem that mr maynard claims is manageable
it 's a quiet retreat said mr. howley ; quiet	mr. howley said it is a retreat that is quiet
however for many managing speed does not come naturally ; many	however managing speed does not come naturally for many
but observers expect broad support ; broad	but observers expect support that is broad
but the production is the equal of any local program ; equal	but the production and any local program are equal
the excess supply pushed gasoline prices down in that period ; excess	what pushed gasoline prices down in that period was the supply that was in excess
other stocks were affected by corporate earnings ; corporate	other stocks were affected by earnings that were corporate
but mexico urgently needs more help ; more	but the help that mexico urgently needs is more
but the production is the equal of any local program ; local	but the production is the equal of any program that is local
more bothersome there are several apparent anachronisms ; bothersome	there are several apparent anachronisms that are more bothersome
last week many jaguar shareholders took their money and ran ; last	many jaguar shareholders too their money and ran the week of last
the industrial average closed down only 3.69 points at 2659.22 ; industrial	the average that closed down only 3.69 points at 2659.22 was industrial
the agreement is subject to government approval ; subject	it's government approval to which the agreement is subject
it has not however made a formal proposal ; formal	however it has not made a proposal that is formal
last week many jaguar shareholders took their money and ran ; many	last week the jaguar shareholders who took their money and ran were many
the session failed to enact any new curbs ; new	the session failed to enact any curbs that are new
more bothersome there are several apparent anachronisms ; several	the apparent anachronisms that are bothersome are several
