long-term care insurance gains favor	favor is gained by long-term care insurance
fear of aids hinders hiring at few hospitals	hiring are hindered by fear of aids at few hospitals
i can tell you that nobody quit over it	you can be told by me that nobody quit over it
sales declined 10 % to 251.2 million from 278.7 million	10 % was declined by sales to 251.2 million from 278.7 million
the atlanta-based chemical manufacturer said lower prices hurt margins for most products	the atlanta-based chemical manufacturer said margins are hurt by lower prices for most products
newly acquired assets would get a bigger break than those currently held	a bigger break than those currently held would be got by newly acquired assets
workers could dial out but they could n't receive telephone calls	workers could dial out but telephone calls could n't be received by them
president bush signed a disaster declaration covering seven northern california counties	a disaster declaration covering seven northern california counties was signed by president bush
the account currently has 220 million	220 million currently are had by the account
the i-880 section had completed the first phase of the retrofitting	the first phase of the retrofitting had been completed by the i-880 section
silicon valley heaved a sigh of relief yesterday	a sigh of relief was heaved by silicon valley yesterday
they then run remotely controlled self-diagnostic programs	remotely controlled self-diagnostic programs then are run by them
digital also said it has dispatched teams of technicians to california	digital also said teams of technicians have been dispatched by it to california
already the 1982 legislation has saved an estimated 800 million	already an estimated 800 million have been saved by the 1982 legislation
anti-nuclear activists took a less positive view	a less positive view was taken by anti-nuclear activists
the successful launch continues a remarkable recovery in the u.s. space-science program	a remarkable recovery in the u.s. space-science program is continued by the successful launch
the slack absorbs the pulling strain generated by an earthquake	the pulling strain generated by an earthquake is absorbed by the slack
officials expect difficulty routing traffic through downtown san francisco	difficulty routing traffic through downtown san francisco is expected by officials
mr. bandler puts traffic volume at 10 to 50 times normal	traffic volume is put by mr. bandler at 10 to 50 times normal
her parents lost everything in the 1906 earthquake	everything was lost by her parents in the 1906 earthquake
revenue slipped 4.6 % to 835 million from 876 million	4.6 % was slipped by revenue to 835 million from 876 million
in new york stock exchange composite trading dayton rose 1 to 61.125	in new york stock exchange composite trading 1 were risen by dayton to 61.125
but u.s. officials have strong doubts that he is a reformer	but strong doubts that he is a reformer are had by u.s. officials
however mr. krenz also has a reputation for being politically savvy	however a reputation for being politically savvy also is had by mr. krenz
the selection of mr. krenz may also disappoint moscow	moscow may also be disappointed by the selection of mr. krenz
one of their pastors has envisioned a new utopia of creative socialism	a new utopia of creative socialism has been envisioned by one of their pastors
total operating expenses increased 3.5 % to 2.78 billion from 2.69 billion	3.5 % was increased by total operating expenses to 2.78 billion from 2.69 billion
