chemical profits fell to 78 million from 98 million ; fell	the falling of the chemical profits went from 98 million to 78 million
all estimates exclude highway repair which could exceed 1 billion ; exclude	the excluding of highway repair from all estimates could still exceed 1 billion
and he has worked to shed his raider image ; worked	the working to shed his raider image was done by him
the industrial average closed down only 3.69 points at 2659.22 ; closed	the closing of the industrial average was down only 3.69 points at 2659.22
all estimates exclude highway repair which could exceed 1 billion ; exceed	the exceeding of 1 billion exclude highway repair from all estimates
and he has worked to shed his raider image ; shed	the shedding of his raider image is something he has worked to do
you have n't seen the full effect of that yet ; seen	seeing the full effect of that is what you have not done yet
i do n't think anyone left the place whistling dixie ; whistling	there was no whistling of dixie done by anyone leaving the place
still some aid is moving westward from washington almost immediately ; moving	the moving of some aid westward from washington happened almost immediately
opponents of the cut are playing hardball ; playing	the playing of hardball was done by the opponents of the cut
it does n't appear to be getting worse ; appear	the appearing of it getting worse is not happening
it has not however made a formal proposal ; made	the making of a formal proposal has not occurred
meanwhile personal income edged up 0.3 % ; edged	the edging of income up 0.3 percent was personal
but he adds i was not acting as a messenger ; acting	the acting as a messenger he claimed was not by him
revenue nearly tripled to 479 million from 160 million ; tripled	the tripling of the revenue went from 160 million to 479 million
it does n't appear to be getting worse ; getting	the getting worse does not appear to be happening to it
compaq is already taking aim at zenith 's market share ; taking	taking aim at zenith 's market share already is compaq
safeco fell 1\/8 to 32 5\/8 on 462,900 shares ; fell	the falling of safeco shares went from 1v8 to 32 5v8 on 462,900
harsco declined to say what country placed the order ; declined	the declining to say what country placed the order comes from harsco
the disk-drive maker disclosed a major fraud two months ago ; disclosed	disclosure of a major fraud two months ago was done by the disk-drive maker
outside investors scarce since '86 are edging back ; edging	the edging back of outside investors since 1986 has been scarce
logic plays a minimal role here ; plays	the playing of logic takes a minimal role here
she said that impact ca n't be reasonably assessed yet ; assessed	she said that the assessment of the impact can't be done yet
harsco declined to say what country placed the order ; say	saying what country placed the order was declined by harsco
shares of three brokerage firms rose after they reported earnings ; rose	the rising of shares from three brokerage firms happened after they reported earnings
the venture cost quebecor 12 million mr. peladeau says ; cost	the cost of the venture for quebecor was 12 million mr. peladeau says
the consequences of building empires with sand are showing up ; building	the building of empires with sands have consequences which are showing up
